"Country","City","AQI.Value","CO.AQI.Value","Ozone.AQI.Value","NO2.AQI.Value","PM2.5.AQI.Value","Latitude","Longitude"
"Russian Federation","Praskoveya",51,1,36,0,51,NA,NA
"Brazil","Presidente Dutra",41,1,5,1,41,-11.2959181,-41.9871566
"Italy","Priolo Gargallo",66,1,39,2,66,37.1579298,15.1860285
"Poland","Przasnysz",34,1,34,0,20,53.0190219,20.8804028
"France","Punaauia",22,0,22,0,6,-17.5929204,-149.6063669
"United States of America","Punta Gorda",54,1,14,11,54,26.9351529,-82.0512058
"Germany","Puttlingen",62,1,35,3,62,49.287307,6.8827786
"Belgium","Puurs",64,1,29,7,64,51.0762086,4.2817075
"Russian Federation","Pyatigorsk",54,1,41,1,54,44.039775,43.0706669
"Egypt","Qalyub",142,3,89,9,142,30.178875,31.206436
"China","Qinzhou",68,2,68,1,58,34.5797531,105.7062921
"Netherlands","Raalte",41,1,24,6,41,52.3874327,6.3078482
"India","Radaur",158,3,139,1,158,30.0309855,77.1518216
"Pakistan","Radhan",158,1,50,1,158,27.1775378,67.9512147
"Republic of North Macedonia","Radovis",83,1,46,0,83,41.639832,22.4645893
"France","Raismes",59,1,30,4,59,50.3916313,3.4823888
"India","Rajgir",154,3,100,2,154,25.0299973,85.4207368
"Italy","Ramacca",55,1,47,0,55,37.388048,14.692681
"United States of America","Phoenix",72,1,4,23,72,33.4484367,-112.074141
"India","Phulabani",161,2,71,0,161,NA,NA
"Poland","Piaseczno",28,1,28,2,28,52.0747377,21.0270885
"India","Pimpri",118,2,30,2,118,20.7981222,77.8304968
"Brazil","Pindobacu",33,0,10,1,33,-10.7439121,-40.3619457
"China","Pingyin",150,3,95,6,150,36.2894384,116.4503206
"Brazil","Pinheiral",154,5,0,13,154,-22.5129436,-44.001435
"India","Piravam",81,1,24,1,81,NA,NA
"Colombia","Plato",67,1,16,2,67,9.7904163,-74.7820016
"Romania","Poiana Mare",62,1,37,1,62,43.9193248,23.0649446
"Russian Federation","Polevskoy",31,1,31,0,17,56.442108,60.165859
"France","Pontarlier",56,1,35,0,56,46.9040348,6.3546345
"United States of America","Pontiac",77,2,22,15,77,42.6389216,-83.2910468
"Indonesia","Pontianak",44,1,15,0,44,-0.0226903,109.3447488
"Brazil","Porecatu",30,1,9,2,30,-22.753724,-51.37949
"Finland","Pori",30,1,30,1,15,61.4866126,21.7972071
"South Africa","Port Elizabeth",79,3,18,5,79,-33.9618359,25.6186512
"United States of America","Port Neches",34,1,19,7,34,29.9913244,-93.9585067
"United Kingdom of Great Britain and Northern Ireland","Port Talbot",51,1,20,5,51,51.5952353,-3.7824148
"United States of America","Portales",77,1,34,0,77,34.1859636,-103.3373367
"United States of America","Post Falls",61,1,32,3,61,47.7110106,-116.9480877
"Brazil","Pouso Alegre",32,1,7,2,32,-22.2343858,-45.9327241
"China","Dalinghe",64,3,64,4,64,41.1741391,121.3537276
"Russian Federation","Dalnegorsk",29,0,29,0,25,44.559457,135.5759241
"United Republic of Tanzania","Dar Es Salaam",51,1,23,0,51,-6.8160837,39.2803583
"India","Darbhanga",247,3,162,1,247,26.156999,85.8995065
"United States of America","Dayton",45,1,32,7,45,39.7589478,-84.1916069
"Belgium","Deinze",36,1,25,3,36,50.9840526,3.5274017
"Egypt","Dekernes",81,2,81,4,56,31.0875714,31.5949593
"Haiti","Delmas",124,2,15,5,124,18.5518464,-72.2920071
"United States of America","Deming",72,1,26,2,72,32.2627416,-107.7581979
"United Kingdom of Great Britain and Northern Ireland","Denton",55,0,32,1,55,53.4547745,-2.1153406
"United States of America","Destin",31,0,31,0,25,30.3935337,-86.4957834
"Pakistan","Dhadar",157,1,89,0,157,29.4742254,67.6519862
"India","Dharmapuri",60,1,31,1,60,12.1347988,78.1589864
"Pakistan","Digri",153,1,40,0,153,25.1570717,69.1107851
"Somalia","Dinsor",22,0,19,0,22,NA,NA
"Philippines","Dipolog",30,1,17,0,30,8.5864062,123.3449371
"Latvia","Dobele",44,1,34,0,44,56.6257485,23.277275
"United States of America","Grandville",47,1,37,4,47,42.909598,-85.7630956
"Netherlands","Grave",37,0,32,2,37,51.7596504,5.7411125
"United States of America","Green Valley",44,1,14,8,44,34.6163079,-118.4034763
"United States of America","Greendale",58,2,14,24,58,42.9406083,-87.995993
"Poland","Grudziadz",37,0,33,0,37,53.4876477,18.7557746
"Colombia","Guamo",89,3,3,6,89,4.0303906,-74.9679007
"Italy","Guardiagrele",52,2,38,7,52,42.1954758,14.2197122
"Chad","Guelengdeng",59,2,16,0,59,10.9203251,15.5467805
"United Kingdom of Great Britain and Northern Ireland","Guildford",51,1,25,6,51,51.2356068,-0.5732063
"Philippines","Guiset",66,1,26,1,66,15.7208747,120.7775143
"Russian Federation","Gukovo",38,1,38,0,13,48.0530303,39.9441925
"United States of America","Havre De Grace",34,1,30,7,34,39.548827,-76.0898259
"United States of America","Hazelwood",88,2,11,20,88,38.7761446,-90.3715909
"Germany","Heddesheim",54,1,31,3,54,49.5054905,8.6024574
"Germany","Heiligenhaus",44,1,28,3,44,51.32658,6.9710401
"United Kingdom of Great Britain and Northern Ireland","Hemel Hempstead",51,1,26,6,51,51.7511784,-0.472528
"United States of America","Hicksville",67,2,15,23,67,40.7681926,-73.5238207
"Brazil","Hidrolandia",42,1,5,2,42,-16.9671342,-49.22826
"India","Gyanpur",189,2,99,1,189,25.3334864,82.465065
"Germany","Haiger",49,1,25,3,49,50.7752801,8.2129059
"China","Hangzhou",203,5,203,5,151,30.2489634,120.2052342
"Germany","Harrislee",35,0,32,0,35,54.8047109,9.3915374
"United States of America","Harrison",90,1,25,2,90,40.7464901,-74.1562551
"India","Harur",67,1,26,1,67,12.0545748,78.4786186
"Germany","Hasbergen",36,0,34,1,36,52.2414052,7.9625883
"France","Haubourdin",48,1,28,4,48,50.6093554,2.9864421
"United States of America","Taunton",41,1,28,10,41,41.9019257,-71.0931485
"New Zealand","Tauranga",19,0,19,1,17,-37.6859006,176.167505
"Tunisia","Tawzar",73,1,43,0,73,NA,NA
"Viet Nam","Tay Ninh",45,0,18,1,45,11.3138286,106.0964769
"Iran (Islamic Republic of)","Taybad",170,1,43,0,170,NA,NA
"Italy","Teano",47,1,47,1,36,41.2510841,14.0671513
"India","Tekkali",155,3,82,1,155,18.6084345,84.2310948
"Brazil","Teodoro Sampaio",46,1,9,1,46,-12.3053855,-38.6408979
"Mexico","Tepeaca",172,5,2,11,172,18.9680556,-97.9025
"Mexico","Tequila",64,1,15,2,64,18.729444,-97.070278
"Italy","Teramo",44,1,44,1,38,42.6612893,13.6983524
"Viet Nam","Thai Nguyen",150,3,150,1,105,21.592477,105.8435398
"China","Tianjin",142,4,113,9,142,39.1175488,117.1913008
"Indonesia","Tidore",21,0,13,0,21,0.6786796,127.4483156
"Romania","Timisoara",47,1,42,0,47,45.7538355,21.2257474
"Tunisia","Tinjah",48,1,48,1,29,NA,NA
"Philippines","Toboso",54,1,20,0,54,10.7169474,123.5135576
"Japan","Tokorozawa",60,1,44,3,60,35.7987179,139.4696758
"Mexico","Toluca",166,4,8,19,166,19.292545,-99.6569007
"Brazil","Itapissuma",27,0,23,1,27,-7.767983,-34.897136
"Brazil","Itarantim",23,1,7,1,23,-15.654591,-40.0601332
"Brazil","Itumbiara",31,1,13,0,31,-18.4135862,-49.2172596
"Mexico","Ixtaczoquitlan",88,3,13,9,88,18.8509737,-97.0625392
"El Salvador","Izalco",90,2,22,9,90,13.7462134,-89.6756286
"United Republic of Tanzania","Izazi",28,1,15,0,28,-7.2413753,35.7218788
"Russian Federation","Izberbash",51,1,38,0,51,42.5710804,47.862999
"India","Jabalpur",170,1,38,0,170,23.1701522,79.9324505
"Brazil","Jaguaquara",22,0,9,1,22,-13.5294974,-39.9693081
"India","Jahanabad",168,4,168,1,156,23.5062275,76.4686206
"Bulgaria","Jambol",40,1,40,0,32,42.483935,26.5105553
"Poland","Jarocin",47,1,27,2,47,51.9739233,17.5011254
"Philippines","Jasaan",59,1,32,0,59,8.6504031,124.7547085
"Nigeria","Ilobu",133,4,23,3,133,7.8408473,4.4853735
"Finland","Imatra",29,1,29,1,7,61.1923342,28.7716996
"Brazil","Indaial",73,2,2,8,73,-26.8901747,-49.2416736
"Philippines","Indang",50,0,24,0,50,14.1957895,120.8784676
"Brazil","Itagi",25,0,9,1,25,-14.1627902,-40.0069366
"Nigeria","Iseyin",90,3,18,2,90,7.9710106,3.5956141
"Mexico","Isla",81,2,26,3,81,18.0276212,-95.5281332
"Brazil","Itaitinga",29,0,20,1,29,-3.965768,-38.529763
"Brazil","Itambe",21,0,8,1,21,-15.2435245,-40.6269506
"Brazil","Itapemirim",44,1,16,1,44,-21.0105534,-40.8351239
"South Sudan","Torit",65,1,12,0,65,4.4134473,32.5682244
"Guatemala","Totonicapan",66,2,7,6,66,14.911838,-91.3599703
"United States of America","Trenton",53,1,28,10,53,40.2203074,-74.7659
"United States of America","Trujillo Alto",56,0,23,0,56,18.3542408,-66.007377
"Ireland","Tullamore",57,1,26,3,57,53.2743768,-7.4927486
"Turkey","Tunceli",62,0,35,0,62,39.1060641,39.5482693
"Viet Nam","Tuyen Quang",167,4,167,1,107,21.7879695,105.217387
"United States of America","Two Rivers",49,1,27,4,49,44.149206,-87.5682149
"United States of America","Tysons Corner",55,2,25,11,55,38.918592,-77.2314723
"Russian Federation","Tyukalinsk",34,1,34,0,32,55.870556,72.196617
"India","Udupi",80,1,25,0,80,13.3419169,74.7473232
"India","Umaria",163,2,92,0,163,23.5246558,80.8361408
"United States of America","Willowbrook",126,4,3,36,126,33.9204209,-118.2418543
"United States of America","Wilmette",63,2,9,22,63,42.076066,-87.7115555
"United States of America","Wolf Trap",53,2,27,10,53,38.9382265,-77.2808332
"United States of America","Woodhaven",86,2,38,10,86,42.1370519,-83.2451066
"China","Wulanhaote",47,2,47,0,25,46.0698111,122.0873444
"China","Xiangdong",78,2,25,7,78,27.6424851,113.727789
"China","Xiaoweizhai",61,2,61,0,54,26.2292619,107.512855
"China","Xushan",112,2,44,4,112,35.8469301,102.4791136
"Peru","Yanacancha",27,0,6,1,27,-12.2010926,-75.3870256
"China","Yancheng",155,3,155,2,151,33.349559,120.1577019
"Democratic Republic of the Congo","Yangambi",121,4,24,0,121,0.7658281,24.4733629
"China","Yanggu",160,3,138,5,160,36.1142991,115.7857865
"China","Yangliuqing",144,4,109,9,144,39.1517165,117.0376178
"China","Yanji",69,2,48,0,69,42.9047375,129.5043827
"United States of America","Yankton",47,1,34,3,47,42.8712938,-97.3967011
"Germany","Wenden",69,1,34,4,69,50.9691051,7.8733251
"United States of America","West Carrollton City",84,3,9,24,84,NA,NA
"Belgium","Wetteren",64,1,32,6,64,51.0068804,3.8855494
"Canada","Whitehorse",20,1,20,1,10,60.721571,-135.054932
"Ireland","Wicklow",38,1,30,3,38,52.9802376,-6.0414184
"Switzerland","Wil",59,1,27,3,59,47.465266,9.0415478
"Germany","Wildeshausen",67,1,30,5,67,52.897103,8.4364342
"United States of America","Williamsport",75,2,13,16,75,41.2411556,-77.0011096
"United States of America","Fox Lake",60,2,18,21,60,42.3966874,-88.1836965
"Brazil","Foz Do Iguacu",22,1,13,0,22,-25.5304023,-54.5830692
"Denmark","Frederikssund",36,1,36,0,25,55.8417752,12.063595
"United States of America","Friendly",41,1,30,8,41,38.7517226,-76.9781915
"Germany","Fuldatal",44,1,28,2,44,51.3781639,9.533699
"Japan","Furano",29,1,26,1,29,43.3419744,142.383188
"China","Fuzhou",168,3,168,5,99,26.0774954,119.2918215
"United Kingdom of Great Britain and Northern Ireland","Galashiels",25,1,25,3,23,55.616418,-2.8070791
"Germany","Gangelt",41,1,26,4,41,50.9928407,5.997057
"Germany","Garbsen",36,0,33,1,36,52.4276606,9.6005102
"Cameroon","Garoua",59,2,12,0,59,9.3070698,13.3934527
"Somalia","Garowe",98,0,17,0,98,8.406143,48.483195
"Netherlands","Geertruidenberg",35,0,33,2,35,51.6961662,4.8778438
"Australia","Geraldton",29,0,29,0,13,-28.77035,114.6147159
"Germany","Germersheim",51,1,29,3,51,49.2222749,8.36659
"Colombia","Girardot",103,4,9,6,103,4.3046383,-74.8030739
"Russian Federation","Glubokiy",35,1,35,0,17,48.5245462,40.3261435
"United Kingdom of Great Britain and Northern Ireland","Golborne",35,1,30,4,35,53.4756118,-2.5994277
"Portugal","Gondomar",27,0,27,2,21,41.1398199,-8.5326269
"Russian Federation","Goryachevodskiy",48,1,39,1,48,NA,NA
"India","Govindgarh",307,1,45,0,307,24.3786816,81.2992271
"Côte d'Ivoire","Grand Lahou",54,1,25,0,54,5.2503434,-5.0024449
"United States of America","Hoffman Estates",61,2,26,16,61,42.0427256,-88.0792782
"Sweden","Hoganas",36,1,36,1,30,56.2,12.566667
"United States of America","Holly Springs",42,1,42,2,37,35.6512655,-78.8336218
"Germany","Holzminden",42,0,32,1,42,51.828835,9.4466591
"China","Huaicheng",151,4,45,4,151,23.9161583,112.1853763
"Ethiopia","Huruta",102,1,23,0,102,8.148683,39.3534724
"Nigeria","Idanre",115,3,24,2,115,7.109769,5.1164416
"Italy","Iglesias",64,1,53,1,64,39.3125402,8.5341109
"Germany","Ihlow",40,1,30,2,40,53.4075291,7.3995033
"Japan","Iizuka",45,1,45,0,38,33.646594,130.6911579
"Thailand","Sungai Kolok",65,1,34,0,65,6.0229548,101.9634532
"Indonesia","Sungaipenuh",17,1,13,0,17,NA,NA
"Russian Federation","Suvorovskaya",52,1,39,1,52,44.192057,42.6488415
"Japan","Suzu",69,1,69,1,60,37.4363793,137.2606015
"Poland","Swiecie",44,1,33,1,44,53.4072518,18.4455253
"Hungary","Szeged",50,1,41,1,50,46.2546312,20.1486016
"Hungary","Szerencs",72,1,42,1,72,48.1633851,21.2010881
"Tunisia","Taburbah",49,1,49,1,32,NA,NA
"India","Tadepallegudem",127,2,65,1,127,16.8165294,81.5296984
"Iran (Islamic Republic of)","Tafresh",125,2,125,1,82,NA,NA
"Philippines","Tagaytay",41,1,25,1,41,14.0992606,120.9391818
"Japan","Tajimi",52,1,34,3,52,35.3329961,137.1319459
"Japan","Takahagi",47,1,47,1,44,36.7199765,140.7158414
"Japan","Takahashi",36,1,36,3,34,34.7908975,133.6169111
"India","Tal",155,1,39,0,155,23.7156453,75.3907325
"Philippines","Talacogon",37,1,19,0,37,8.4486711,125.7861565
"Russian Federation","Taldom",46,1,27,1,46,56.730941,37.528016
"Kazakhstan","Talgar",69,1,42,0,69,43.3027233,77.2395288
"United States of America","Tamiami",64,1,18,12,64,25.7557987,-80.4009342
"Israel","Tamra",92,2,52,8,92,32.8534876,35.1978748
"Japan","Tanashi",58,1,43,3,58,35.7287951,139.5400411
"Romania","Tandarei",41,1,41,0,38,44.6419986,27.6530653
"Philippines","Tantangan",35,1,20,0,35,6.6191395,124.748923
"Indonesia","Tarogong",88,2,53,1,88,-7.194686,107.8887218
"Turkey","Tatvan",45,0,45,0,43,38.4931961,42.2878112
"India","Yaval",102,1,38,0,102,NA,NA
"United Kingdom of Great Britain and Northern Ireland","Yeovil",58,1,24,7,58,50.9420451,-2.6318629
"China","Yuanping",143,2,35,5,143,38.7308094,112.6994958
"China","Yuncheng",187,2,36,8,187,35.027637,111.002141
"Poland","Zambrow",35,1,35,0,17,52.98552,22.24117
"Poland","Zamosc",48,1,35,1,48,50.7170854,23.2525711
"Belgium","Zaventem",58,1,29,6,58,50.8806207,4.4730008
"Belgium","Zemst",65,1,27,8,65,50.9842166,4.4650814
"China","Zhaozhou",73,2,66,0,73,37.7529692,114.7775736
"China","Zhicheng",160,4,36,13,160,30.2956727,111.5044495
"China","Zhongshan",98,3,33,9,98,22.5196895,113.3870834
"China","Zhuji",156,4,45,10,156,29.7112121,120.2419855
"Mexico","Zimatlan",75,2,9,6,75,16.933056,-97.830833
"Mexico","Zinacantepec",163,4,8,18,163,19.2844909,-99.7350408
"Russian Federation","Zmeinogorsk",35,1,35,0,21,51.1544658,82.1979928
"Netherlands","Aalburg",30,0,30,2,29,51.7564268,5.1282689
"Spain","Abaran",47,1,21,2,47,38.2058512,-1.3971219
"Italy","Abbiategrasso",69,1,37,4,69,45.398733,8.9162299
"Côte d'Ivoire","Abidjan",105,4,15,4,105,5.320357,-4.016107
"Mexico","Acuautla",189,2,9,15,189,20.490278,-98.033611
"United States of America","Acworth",64,2,37,8,64,34.0659329,-84.6768796
"United States of America","Adelphi",54,1,32,5,54,39.0030666,-76.9721023
"India","Afzalgarh",198,4,198,3,188,29.3930355,78.674504
"Nigeria","Agbor",139,7,13,5,139,6.2578135,6.182193
"France","Aix En Provence",55,1,26,3,55,43.5298424,5.4474738
"Myanmar","Akyab",145,1,46,0,145,20.139197,92.8970859
"United States of America","Alabaster",80,1,18,10,80,33.2442813,-86.8163773
"Russian Federation","Alagir",50,1,36,1,50,43.039841,44.220451
"Belgium","Alken",35,1,25,3,35,50.8754731,5.3079873
"Canada","Alma",55,1,27,0,55,48.548887,-71.651459
"Brazil","Almirante Tamandare",13,1,12,1,13,-25.3133048,-49.2997838
"Spain","Almoradi",48,1,23,3,48,38.1096615,-0.7919322
"Papua New Guinea","Alotau",28,0,28,0,13,-10.3060931,150.4464005
"Germany","Altotting",50,1,29,3,50,48.2268085,12.6757914
"Madagascar","Ambovombe",26,0,26,0,20,-25.178398,46.0877489
"China","Anqiu",107,2,107,5,86,36.4794705,119.2129818
"Madagascar","Antalaha",22,0,22,0,20,-14.9012302,50.2810433
"United States of America","Antioch",76,3,7,25,76,38.0093296,-121.8106925
"Lithuania","Anyksciai",47,1,32,0,47,55.5257935,25.1061247
"Ghana","Apam",104,2,14,1,104,5.283297,-0.737975
"Mexico","Apaseo El Grande",60,1,16,5,60,20.5455014,-100.687841
"Brazil","Aragarcas",32,1,3,2,32,-15.8957166,-52.2514538
"Russian Federation","Arkadak",28,1,28,1,15,51.942913,43.489098
"France","Armentieres",34,0,28,2,34,50.6867281,2.882169
"Russian Federation","Arsk",28,1,28,1,19,56.0909916,49.8771828
"Azerbaijan","Artyom",48,1,35,0,48,40.4591806,50.3339854
"Armenia","Ashtarak",39,1,29,1,39,40.2886849,44.3613061
"Ethiopia","Asosa",97,1,14,0,97,10.0646352,34.5437024
"Iran (Islamic Republic of)","Astaneh Ye Ashrafiyeh",75,1,37,0,75,NA,NA
"India","Atarra",194,1,44,0,194,24.9551454,79.8905244
"Guatemala","Atescatempa",104,3,5,10,104,14.1762807,-89.7408637
